Timestamp,SimulatedValue,Status
1788845519,48,WARNING
1788845519,42,OK
1788845520,49,WARNING
1788845520,26,OK
1788845521,22,OK
1788845521,24,OK
1788845522,42,OK
1788845522,28,OK
1788845523,34,OK
1788845523,25,OK
1788845524,34,OK
1788845524,22,OK
1788845525,25,OK
1788845525,22,OK
1788845526,38,OK
1788845527,41,OK
1788845527,36,OK
1788845528,44,OK
1788845528,49,WARNING
1788845529,29,OK
1788845529,33,OK
1788845530,49,WARNING
1788845530,23,OK
1788845531,24,OK
1788845531,44,OK
1788845532,42,OK
1788845532,45,OK
1788845533,39,OK
