Timestamp,SimulatedValue,Status
1788859185,34,OK
1788859185,41,OK
1788859186,48,WARNING
1788859186,41,OK
1788859187,50,WARNING
1788859187,45,OK
1788859188,43,OK
1788859188,36,OK
1788859189,34,OK
1788859189,39,OK
1788859190,40,OK
1788859190,49,WARNING
1788859191,42,OK
1788859191,35,OK
1788859192,28,OK
1788859192,21,OK
1788859193,26,OK
1788859194,44,OK
1788859194,27,OK
1788859195,22,OK
1788859195,31,OK
1788859196,31,OK
1788859196,23,OK
1788859197,43,OK
1788859197,38,OK
1788859198,40,OK
1788859198,49,WARNING
1788859199,31,OK
1788859199,47,WARNING
1788859200,26,OK
1788859200,49,WARNING
1788859201,25,OK
1788859201,49,WARNING
1788859202,37,OK
1788859202,39,OK
1788859203,39,OK
1788859203,33,OK
1788859204,47,WARNING
1788859204,42,OK
1788859205,24,OK
1788859205,38,OK
1788859206,24,OK
1788859206,23,OK
1788859207,37,OK
1788859207,46,WARNING
1788859208,21,OK
1788859208,43,OK
1788859209,40,OK
1788859209,29,OK
1788859210,32,OK
1788859210,43,OK
1788859211,24,OK
1788859211,46,WARNING
1788859212,22,OK
1788859212,44,OK
1788859213,50,WARNING
1788859213,32,OK
1788859214,28,OK
1788859214,40,OK
1788859215,32,OK
1788859216,48,WARNING
1788859216,45,OK
1788859217,45,OK
1788859217,39,OK
1788859218,31,OK
1788859218,49,WARNING
1788859219,45,OK
1788859219,39,OK
1788859220,44,OK
1788859220,48,WARNING
1788859221,22,OK
1788859221,43,OK
